time (s),pressure,long,lat,g_x (dps),g_y (dps),g_z (dps),m_x (mT),m_y (mT),m_z (mT),temp (C),a_x (mg),a_y (mg),a_z (mg)
5.8535, 99900,  *********** ,  ********** ,  -0.019081, -0.043462, 0.015060, -2.314682, 21.257946, -5.338061, 30.015483, 0.621778, -0.738581, -9.977145
5.9780, 99899,  *********** ,  ********** ,  -0.019614, -0.041731, 0.014527, -1.246367, 20.186117, -4.993670, 30.018480, 0.616942, -0.743370, -10.010664
6.0998, 99901,  *********** ,  ********** ,  -0.022410, -0.036005, 0.014394, -1.958578, 19.828840, -4.649279, 30.006500, 0.650797, -0.729004, -9.991510
6.3325, 99901,  *********** ,  ********** ,  -0.021877, -0.037337, 0.014794, -0.534157, 21.615222, -4.993670, 30.006500, 0.699163, -0.709849, -9.914892
6.4573, 99901,  *********** ,  ********** ,  -0.014820, -0.053582, 0.016259, -2.848840, 20.722032, -3.788301, 30.003505, 0.674980, -0.719426, -9.919680
6.5792, 99903,  *********** ,  ********** ,  -0.016684, -0.051984, 0.014927, -3.026892, 20.186117, -5.338061, 30.018480, 0.689490, -0.676328, -9.867006
6.7010, 99904,  *********** ,  ********** ,  -0.015219, -0.046658, 0.014661, -2.136630, 21.079307, -5.510256, 30.006500, 0.699163, -0.772101, -9.957989
6.8241, 99905,  *********** ,  ********** ,  -0.005365, -0.075154, 0.018256, -2.848840, 20.722032, -6.543429, 30.000509, 0.626615, -0.729004, -9.843062
6.9460, 99900,  *********** ,  ********** ,  -0.012290, -0.052650, 0.015726, -2.314682, 21.257946, -5.338061, 30.003505, 0.636288, -0.896606, -9.953201
7.0679, 99901,  *********** ,  ********** ,  -0.012023, -0.053715, 0.013196, -3.026892, 23.044328, -3.960497, 29.997512, 0.670144, -0.810411, -10.135169
7.2943, 99903,  *********** ,  ********** ,  -0.013621, -0.054115, 0.014927, -1.602473, 21.615222, -4.304888, 30.018480, 0.660470, -0.671540, -9.862216
7.4205, 99903,  *********** ,  ********** ,  -0.020546, -0.043995, 0.017324, -2.136630, 20.364755, -4.132692, 30.024471, 0.539557, -0.729004, -9.972355
7.5436, 99900,  *********** ,  ********** ,  -0.036658, -0.006444, 0.011731, 0.000000, 21.079307, -4.132692, 30.015483, 0.733018, -0.729004, -9.857428
7.6668, 99901,  *********** ,  ********** ,  -0.025339, -0.020692, 0.012930, -2.848840, 21.793861, -5.510256, 30.003505, 0.723345, -0.791256, -10.053763
